2020-01-22,Brazil,0,0,0
2020-01-23,Brazil,0,0,0
2020-01-24,Brazil,0,0,0
2020-01-25,Brazil,0,0,0
2020-01-26,Brazil,0,0,0
2020-01-27,Brazil,0,0,0
2020-01-28,Brazil,0,0,0
2020-01-29,Brazil,0,0,0
2020-01-30,Brazil,0,0,0
2020-01-31,Brazil,0,0,0
2020-02-01,Brazil,0,0,0
2020-02-02,Brazil,0,0,0
2020-02-03,Brazil,0,0,0
2020-02-04,Brazil,0,0,0
2020-02-05,Brazil,0,0,0
2020-02-06,Brazil,0,0,0
2020-02-07,Brazil,0,0,0
2020-02-08,Brazil,0,0,0
2020-02-09,Brazil,0,0,0
2020-02-10,Brazil,0,0,0
2020-02-11,Brazil,0,0,0
2020-02-12,Brazil,0,0,0
2020-02-13,Brazil,0,0,0
2020-02-14,Brazil,0,0,0
2020-02-15,Brazil,0,0,0
2020-02-16,Brazil,0,0,0
2020-02-17,Brazil,0,0,0
2020-02-18,Brazil,0,0,0
2020-02-19,Brazil,0,0,0
2020-02-20,Brazil,0,0,0
2020-02-21,Brazil,0,0,0
2020-02-22,Brazil,0,0,0
2020-02-23,Brazil,0,0,0
2020-02-24,Brazil,0,0,0
2020-02-25,Brazil,0,0,0
2020-02-26,Brazil,1,0,0
2020-02-27,Brazil,1,0,0
2020-02-28,Brazil,1,0,0
2020-02-29,Brazil,2,0,0
2020-03-01,Brazil,2,0,0
2020-03-02,Brazil,2,0,0
2020-03-03,Brazil,2,0,0
2020-03-04,Brazil,4,0,0
2020-03-05,Brazil,4,0,0
2020-03-06,Brazil,13,0,0
2020-03-07,Brazil,13,0,0
2020-03-08,Brazil,20,0,0
2020-03-09,Brazil,25,0,0
2020-03-10,Brazil,31,0,0
2020-03-11,Brazil,38,0,0
2020-03-12,Brazil,52,0,0
2020-03-13,Brazil,151,0,0
2020-03-14,Brazil,151,0,0
2020-03-15,Brazil,162,0,0
2020-03-16,Brazil,200,1,0
2020-03-17,Brazil,321,2,1
2020-03-18,Brazil,372,2,3
2020-03-19,Brazil,621,2,6
2020-03-20,Brazil,793,2,11
2020-03-21,Brazil,1021,2,15
2020-03-22,Brazil,1546,2,25
2020-03-23,Brazil,1924,2,34
2020-03-24,Brazil,2247,2,46
2020-03-25,Brazil,2554,2,59
2020-03-26,Brazil,2985,6,77
2020-03-27,Brazil,3417,6,92
2020-03-28,Brazil,3904,6,111
2020-03-29,Brazil,4256,6,136
2020-03-30,Brazil,4579,120,159
2020-03-31,Brazil,5717,127,201
2020-04-01,Brazil,6836,127,240
2020-04-02,Brazil,8044,127,324
