2020-01-22,Italy,0,0,0
2020-01-23,Italy,0,0,0
2020-01-24,Italy,0,0,0
2020-01-25,Italy,0,0,0
2020-01-26,Italy,0,0,0
2020-01-27,Italy,0,0,0
2020-01-28,Italy,0,0,0
2020-01-29,Italy,0,0,0
2020-01-30,Italy,0,0,0
2020-01-31,Italy,2,0,0
2020-02-01,Italy,2,0,0
2020-02-02,Italy,2,0,0
2020-02-03,Italy,2,0,0
2020-02-04,Italy,2,0,0
2020-02-05,Italy,2,0,0
2020-02-06,Italy,2,0,0
2020-02-07,Italy,3,0,0
2020-02-08,Italy,3,0,0
2020-02-09,Italy,3,0,0
2020-02-10,Italy,3,0,0
2020-02-11,Italy,3,0,0
2020-02-12,Italy,3,0,0
2020-02-13,Italy,3,0,0
2020-02-14,Italy,3,0,0
2020-02-15,Italy,3,0,0
2020-02-16,Italy,3,0,0
2020-02-17,Italy,3,0,0
2020-02-18,Italy,3,0,0
2020-02-19,Italy,3,0,0
2020-02-20,Italy,3,0,0
2020-02-21,Italy,20,0,1
2020-02-22,Italy,62,1,2
2020-02-23,Italy,155,2,3
2020-02-24,Italy,229,1,7
2020-02-25,Italy,322,1,10
2020-02-26,Italy,453,3,12
2020-02-27,Italy,655,45,17
2020-02-28,Italy,888,46,21
2020-02-29,Italy,1128,46,29
2020-03-01,Italy,1694,83,34
2020-03-02,Italy,2036,149,52
2020-03-03,Italy,2502,160,79
2020-03-04,Italy,3089,276,107
2020-03-05,Italy,3858,414,148
2020-03-06,Italy,4636,523,197
2020-03-07,Italy,5883,589,233
2020-03-08,Italy,7375,622,366
2020-03-09,Italy,9172,724,463
2020-03-10,Italy,10149,724,631
2020-03-11,Italy,12462,1045,827
2020-03-12,Italy,12462,1045,827
2020-03-13,Italy,17660,1439,1266
2020-03-14,Italy,21157,1966,1441
2020-03-15,Italy,24747,2335,1809
2020-03-16,Italy,27980,2749,2158
2020-03-17,Italy,31506,2941,2503
2020-03-18,Italy,35713,4025,2978
2020-03-19,Italy,41035,4440,3405
2020-03-20,Italy,47021,4440,4032
2020-03-21,Italy,53578,6072,4825
2020-03-22,Italy,59138,7024,5476
2020-03-23,Italy,63927,7024,6077
2020-03-24,Italy,69176,8326,6820
2020-03-25,Italy,74386,9362,7503
2020-03-26,Italy,80589,10361,8215
2020-03-27,Italy,86498,10950,9134
2020-03-28,Italy,92472,12384,10023
2020-03-29,Italy,97689,13030,10779
2020-03-30,Italy,101739,14620,11591
2020-03-31,Italy,105792,15729,12428
2020-04-01,Italy,110574,16847,13155
2020-04-02,Italy,115242,18278,13915
